,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
36,ref-sifre-n.82.1.216-ref-sifre-n.82.1.233,ref-sifre-d.26.8.44-ref-sifre-d.26.9.10,111369,111478,16964,16980,ref-sifre-n.82.1.216,ref-sifre-n.82.1.233,29504,29603,4969,4986,ref-sifre-d.26.8.44,ref-sifre-d.26.9.10,שאמרו נשלחה אנשים לפנינו אמר להם המקום אם כשהייתם בארץ ערבה ושוחה זנתי ופרנסתי אתכם כשאתם נכנסים בארץ ,הרי שעה שאבקש שאכנס לארץ לכך נאמר בעת ההיא זה אחד מן הדברים שאמר משה לפני המקום הודיעני אם ,18,19,587,36,0.7450980392156863,0.8214285714285714
37,ref-sifre-n.91.1.129-ref-sifre-n.91.1.137,ref-sifre-d.26.9.5-ref-sifre-d.26.9.13,128243,128280,19820,19827,ref-sifre-n.91.1.129,ref-sifre-n.91.1.137,29571,29615,4981,4989,ref-sifre-d.26.9.5,ref-sifre-d.26.9.13,אמר משה לפני המקום אם ככה את עושה לי ,שאמר משה לפני המקום הודיעני אם אתה עושה לי ,9,9,609,37,0.27906976744186046,0.4
38,ref-sifre-n.105.1.341-ref-sifre-n.105.1.350,ref-sifre-d.26.9.45-ref-sifre-d.26.9.52,143946,143993,22489,22495,ref-sifre-n.105.1.341,ref-sifre-n.105.1.350,29753,29790,5016,5020,ref-sifre-d.26.9.45,ref-sifre-d.26.9.52,כיוצא בו אתה אומר במדבר כז ויאמר משה לפני ה' ,כיוצא בו אתה אומר וידבר משה לפני ה' ,10,8,639,38,0.24444444444444444,0.33333333333333337
39,ref-sifre-n.138.1.70-ref-sifre-n.138.1.79,ref-sifre-d.26.9.45-ref-sifre-d.26.9.52,248793,248837,39580,39586,ref-sifre-n.138.1.70,ref-sifre-n.138.1.79,29753,29790,5016,5020,ref-sifre-d.26.9.45,ref-sifre-d.26.9.52,כיוצא בו אתה אומר שמות ו וידבר משה לפני ה' ,כיוצא בו אתה אומר וידבר משה לפני ה' ,10,8,1113,39,0.16279069767441862,0.125
40,ref-sifre-n.105.1.301-ref-sifre-n.105.1.311,ref-sifre-d.26.9.45-ref-sifre-d.26.9.55,143766,143815,22461,22468,ref-sifre-n.105.1.301,ref-sifre-n.105.1.311,29753,29805,5016,5023,ref-sifre-d.26.9.45,ref-sifre-d.26.9.55,כיוצא בו אתה אומר שמות ו וידבר משה לפני ה' לאמר ,"כיוצא בו אתה אומר וידבר משה לפני ה' שאין ת""ל לאמר ",11,11,636,40,0.32,0.2222222222222222
41,ref-sifre-n.134.5.10-ref-sifre-n.134.5.17,ref-sifre-d.26.9.55-ref-sifre-d.26.9.63,242580,242617,38504,38511,ref-sifre-n.134.5.10,ref-sifre-n.134.5.17,29801,29841,5023,5030,ref-sifre-d.26.9.55,ref-sifre-d.26.9.63,"לאמר שאין ת""ל אלא א""ל הודיעני אם אני ","לאמר ומה ת""ל לאמר אמר לו הודיעני אם אתה ",8,9,1082,41,0.325,0.5555555555555556
42,ref-sifre-n.138.1.95-ref-sifre-n.138.1.105,ref-sifre-d.26.9.56-ref-sifre-d.26.9.64,248912,248961,39598,39606,ref-sifre-n.138.1.95,ref-sifre-n.138.1.105,29806,29847,5024,5031,ref-sifre-d.26.9.56,ref-sifre-d.26.9.64,"מה ת""ל לאמר אלא אמר לפניו הודיעני נא אם אתה גואלם ","ומה ת""ל לאמר אמר לו הודיעני אם אתה גואלם ",11,9,1115,42,0.22,0.25
43,ref-sifre-n.138.1.150-ref-sifre-n.138.1.161,ref-sifre-d.26.9.56-ref-sifre-d.26.9.80,249173,249228,39641,39650,ref-sifre-n.138.1.150,ref-sifre-n.138.1.161,29806,29920,5024,5043,ref-sifre-d.26.9.56,ref-sifre-d.26.9.80,"ומה ת""ל לאמר אלא אמר לפניו הודיעני נא אם אתה רופא אותה ","ומה ת""ל לאמר אמר לו הודיעני אם אתה גואלם אם לאו כיוצא בו אתה אומר ויצעק משה אל ה' לאמר הודיעני אם אתה מרפא אותה ",12,25,1119,43,0.5982142857142857,0.46153846153846156
45,ref-sifre-n.138.1.189-ref-sifre-n.138.1.201,ref-sifre-d.26.9.59-ref-sifre-d.26.9.77,249361,249417,39669,39678,ref-sifre-n.138.1.189,ref-sifre-n.138.1.201,29820,29906,5027,5040,ref-sifre-d.26.9.59,ref-sifre-d.26.9.77,"אל ה' בעת ההיא לאמר אין ת""ל לאמר אלא אמר לו הודיעני אם ",אמר לו הודיעני אם אתה גואלם אם לאו כיוצא בו אתה אומר ויצעק משה אל ה' לאמר הודיעני אם ,13,19,1122,45,0.611764705882353,0.5833333333333333
47,ref-sifre-n.138.1.131-ref-sifre-n.138.1.141,ref-sifre-d.26.9.67-ref-sifre-d.26.9.103,249091,249141,39627,39634,ref-sifre-n.138.1.131,ref-sifre-n.138.1.141,29855,30026,5033,5058,ref-sifre-d.26.9.67,ref-sifre-d.26.9.103,כיוצא בו אתה אומר במדבר יב ויצעק משה אל ה' לאמר ,כיוצא בו אתה אומר ויצעק משה אל ה' לאמר הודיעני אם אתה מרפא אותה אם לאו כיוצא בו אתה אומר ויצעק משה אל ה' לאמר הודיעני אם אתה מרפא אותה אם לאו כיוצא בו אתה אומר וידבר ,11,37,1118,47,0.7228915662650602,0.46153846153846156
