מטמא,ref-sifre-n.1.4.86
את,ref-sifre-n.1.4.87
האדם,ref-sifre-n.1.4.88
כל,ref-sifre-n.1.4.89
שמחוסר,ref-sifre-n.1.4.90
כפורים,ref-sifre-n.1.4.91
פוסל,ref-sifre-n.1.4.92
טבול,ref-sifre-n.1.4.93
יום,ref-sifre-n.1.4.94
פוסל,ref-sifre-n.1.4.95
חמור,ref-sifre-n.1.4.96
שבני,ref-sifre-n.1.4.97
ישראל,ref-sifre-n.1.4.98
שהוא,ref-sifre-n.1.4.99
פוסל,ref-sifre-n.1.4.100
את,ref-sifre-n.1.4.101
התרומה,ref-sifre-n.1.4.102
וישלחו,ref-sifre-n.1.5.1
מן,ref-sifre-n.1.5.2
המחנה,ref-sifre-n.1.5.3
כל,ref-sifre-n.1.5.4
צרוע,ref-sifre-n.1.5.5
וגו׳,ref-sifre-n.1.5.6
למה,ref-sifre-n.1.5.7
נאמר,ref-sifre-n.1.5.8
אין,ref-sifre-n.1.5.9
לי,ref-sifre-n.1.5.10
אלא,ref-sifre-n.1.5.11
אלו,ref-sifre-n.1.5.12
שאר,ref-sifre-n.1.5.13
טמאים,ref-sifre-n.1.5.14
מנין,ref-sifre-n.1.5.15
תלמוד,ref-sifre-n.1.5.16
לומר,ref-sifre-n.1.5.17
כל,ref-sifre-n.1.5.18
צרוע,ref-sifre-n.1.5.19
וכל,ref-sifre-n.1.5.20
זב,ref-sifre-n.1.5.21
היה,ref-sifre-n.1.5.22
ר׳,ref-sifre-n.1.5.23
יאשיה,ref-sifre-n.1.5.24
אומר,ref-sifre-n.1.5.25
קל,ref-sifre-n.1.5.26
וחומר,ref-sifre-n.1.5.27
אם,ref-sifre-n.1.5.28
נדחו,ref-sifre-n.1.5.29
טמאים,ref-sifre-n.1.5.30
ממחנה,ref-sifre-n.1.5.31
ארון,ref-sifre-n.1.5.32
הקל,ref-sifre-n.1.5.33
קל,ref-sifre-n.1.5.34
וחומר,ref-sifre-n.1.5.35
ממחנה,ref-sifre-n.1.5.36
שכינה,ref-sifre-n.1.5.37
החמור,ref-sifre-n.1.5.38
אלא,ref-sifre-n.1.5.39
אם,ref-sifre-n.1.5.40
אמרת,ref-sifre-n.1.5.41
כן,ref-sifre-n.1.5.42
ענשת,ref-sifre-n.1.5.43
מן,ref-sifre-n.1.5.44
הדין,ref-sifre-n.1.5.45
לכך,ref-sifre-n.1.5.46
נאמר,ref-sifre-n.1.5.47
וישלחו,ref-sifre-n.1.5.48
מן,ref-sifre-n.1.5.49
המחנה,ref-sifre-n.1.5.50
וגו׳,ref-sifre-n.1.5.51
ללמדך,ref-sifre-n.1.5.52
שאין,ref-sifre-n.1.5.53
עונשין,ref-sifre-n.1.5.54
מן,ref-sifre-n.1.5.55
הדין,ref-sifre-n.1.5.56
מזכר,ref-sifre-n.1.5.57
עד,ref-sifre-n.1.5.58
נקבה,ref-sifre-n.1.5.59
ח),ref-sifre-n.1.5.60
בכל,ref-sifre-n.1.5.61
אדם,ref-sifre-n.1.5.62
הכתוב,ref-sifre-n.1.5.63
מדבר,ref-sifre-n.1.5.64
או,ref-sifre-n.1.5.65
אינו,ref-sifre-n.1.5.66
מדבר,ref-sifre-n.1.5.67
אלא,ref-sifre-n.1.5.68
בלוים,ref-sifre-n.1.5.69
נושאי,ref-sifre-n.1.5.70
ארון,ref-sifre-n.1.5.71
ת״ל,ref-sifre-n.1.5.72
מזכר,ref-sifre-n.1.5.73
ונקבה,ref-sifre-n.1.5.74
בכל,ref-sifre-n.1.5.75
אדם,ref-sifre-n.1.5.76
הכתוב,ref-sifre-n.1.5.77
