ref-Sifra.1.15.6,כי
ref-Sifra.1.15.7,ימרט
ref-Sifra.1.15.8,ראשו
ref-Sifra.1.15.9,קרח
ref-Sifra.1.15.10,הוא_טהור_הוא
ref-Sifra.1.15.13,יכל
ref-Sifra.1.15.14,יהא
ref-Sifra.1.15.15,טהור
ref-Sifra.1.15.16,׳מכל
ref-Sifra.1.15.17,טומאה׳
ref-Sifra.1.15.18,תלמוד
ref-Sifra.1.15.19,לומד
ref-Sifra.1.15.20,וכי
ref-Sifra.1.15.21,יהיה
ref-Sifra.1.15.22,בקרחת
ref-Sifra.1.15.23,או
ref-Sifra.1.15.24,בגבחת
ref-Sifra.1.15.25,נגע
ref-Sifra.1.15.26,לבן
ref-Sifra.1.15.27,אדמדם
ref-Sifra.1.15.28,דבר
ref-Sifra.1.15.29,למ׳
ref-Sifra.1.15.30,מענינו
ref-Sifra.1.15.31,שאיגו
ref-Sifra.1.15.32,טהור
ref-Sifra.1.15.33,מכל
ref-Sifra.1.15.34,טומאה
ref-Sifra.1.15.35,אלא
ref-Sifra.1.15.36,מטומאת
ref-Sifra.1.15.37,נתקים
ref-Sifra.1.15.38,בלבד
ref-Sifra.1.16.1,דבר
ref-Sifra.1.16.2,למד
ref-Sifra.1.16.3,מסופו
ref-Sifra.1.16.4,כיצד
ref-Sifra.1.16.5,ונתתי
ref-Sifra.1.16.6,ננע
ref-Sifra.1.16.7,צרעת
ref-Sifra.1.16.8,בבית
ref-Sifra.1.16.9,ארץ
ref-Sifra.1.16.10,אחוזתכם
ref-Sifra.1.16.11,משמע
ref-Sifra.1.16.12,בית
ref-Sifra.1.16.13,שיש
ref-Sifra.1.16.14,בו
ref-Sifra.1.16.15,אבנים
ref-Sifra.1.16.16,ועצים
ref-Sifra.1.16.17,ועפר
ref-Sifra.1.16.18,מטמא
ref-Sifra.1.16.19,יכל
ref-Sifra.1.16.20,אף
ref-Sifra.1.16.21,בית
