lemma,pointer_in_volume,provenance
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-65,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-66,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-67,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-68,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-69,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-70,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-71,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-72,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-73,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-74,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-75,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-76,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-77,Dura-Europos 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-78,Dura-Europos 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-79,Palmyra 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-80,Palmyra 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-81,Palmyra 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-82,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-83,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-84,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-85,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-86,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-87,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-88,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-89,Babylonia 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-90,Babylonia? 
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-91,Babylonia? 
