baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-b,dam-lev,jac,id
ref-b.1.1.1.5a.19.11-ref-b.1.1.1.5a.19.31,ref-bible.0206.4.18.6-ref-bible.206.4.19.10,16219,16342,ref-b.1.1.1.5a.19.11,ref-b.1.1.1.5a.19.31,720637,720704,ref-bible.0206.4.18.6,ref-bible.0206.4.19.10,נאמר ברית במלח ונאמר ברית ביסורין נאמר ברית במלח דכתיב ולא תשבית מלח ברית ונאמר ברית ביסורין דכתיב אלה דברי הברית ,אל אביו אל הקצרים ויאמר אל אביו ראשי ראשי ויאמר אל הנער שאהו אל ,21,14,4769,4768.0,47,46.0,0.6754385964912281,0.875,8090000044
ref-b.1.1.1.5a.21.4-ref-b.1.1.1.5a.21.10,ref-bible.0301.94.12.1-ref-bible.301.94.12.7,16598,16638,ref-b.1.1.1.5a.21.4,ref-b.1.1.1.5a.21.10,1218558,1218598,ref-bible.0301.94.12.1,ref-bible.0301.94.12.7,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,7,7,7167,7166.0,48,48.0,0.0,0.0,8090000045
ref-b.1.1.1.5a.22.4-ref-b.1.1.1.5a.22.12,ref-bible.0105.8.5.4-ref-bible.105.8.5.12,16656,16694,ref-b.1.1.1.5a.22.4,ref-b.1.1.1.5a.22.12,356732,356772,ref-bible.0105.8.5.4,ref-bible.0105.8.5.12,כי כאשר ייסר איש את בנו ה' אלהיך מיסרך ,כי כאשר ייסר איש את בנו יהוה אלהיך מיסרך ,9,9,2970,2970.0,49,49.0,0.07317073170731707,0.125,8090000046
ref-b.1.1.1.5a.23.4-ref-b.1.1.1.5a.23.12,ref-bible.0302.6.23.1-ref-bible.302.6.23.9,16757,16801,ref-b.1.1.1.5a.23.4,ref-b.1.1.1.5a.23.12,1262000,1262044,ref-bible.0302.6.23.1,ref-bible.0302.6.23.9,כי נר מצוה ותורה אור ודרך חיים תוכחות מוסר ,כי נר מצוה ותורה אור ודרך חיים תוכחות מוסר ,9,9,7492,7492.0,50,50.0,0.0,0.0,8090000047
ref-b.1.1.1.5b.2.19-ref-b.1.1.1.5b.2.25,ref-bible.0302.21.21.1-ref-bible.302.21.21.7,16994,17031,ref-b.1.1.1.5b.2.19,ref-b.1.1.1.5b.2.25,1278745,1278781,ref-bible.0302.21.21.1,ref-bible.0302.21.21.7,רודף צדקה וחסד ימצא חיים צדקה וכבוד ,רדף צדקה וחסד ימצא חיים צדקה וכבוד ,7,7,7599,7599.0,51,51.0,0.027777777777777776,0.0,8090000048
ref-b.1.1.1.5b.3.21-ref-b.1.1.1.5b.3.26,ref-bible.0208.32.18.4-ref-bible.208.32.18.9,17186,17214,ref-b.1.1.1.5b.3.21,ref-b.1.1.1.5b.3.26,931016,931044,ref-bible.0208.32.18.4,ref-bible.0208.32.18.9,ומשלם עון אבות אל חיק בניהם ,ומשלם עון אבות אל חיק בניהם ,6,6,5788,5788.0,52,52.0,0.0,0.0,8090000049
ref-b.1.1.1.5b.21.56-ref-b.1.1.1.5b.21.61,ref-bible.0206.20.2.1-ref-bible.206.20.2.6,19185,19219,ref-b.1.1.1.5b.21.56,ref-b.1.1.1.5b.21.61,763213,763243,ref-bible.0206.20.2.1,ref-bible.0206.20.2.6,ויסב חזקיהו פניו אל הקיר ויתפלל ,ויסב את פניו אל הקיר ויתפלל ,6,6,4933,4933.0,53,53.0,0.1875,0.2857142857142857,8090000050
ref-b.1.1.1.5b.21.56-ref-b.1.1.1.5b.21.61,ref-bible.0207.38.2.1-ref-bible.207.38.2.6,19185,19219,ref-b.1.1.1.5b.21.56,ref-b.1.1.1.5b.21.61,827140,827174,ref-bible.0207.38.2.1,ref-bible.0207.38.2.6,ויסב חזקיהו פניו אל הקיר ויתפלל ,ויסב חזקיהו פניו אל הקיר ויתפלל ,6,6,5312,5312.0,54,53.0,0.0,0.0,8090000051
ref-b.1.1.1.5b.23.13-ref-b.1.1.1.5b.24.8,ref-bible.0101.31.49.4-ref-bible.101.31.50.7,19354,19454,ref-b.1.1.1.5b.23.13,ref-b.1.1.1.5b.24.8,62711,62779,ref-bible.0101.31.49.4,ref-bible.0101.31.50.7,צפון לדרום הויין ליה בנים זכרים שנאמר וצפונך תמלא בטנם ישבעו בנים רב נחמן בר יצחק אמר אף אין אשתו ,יצף יהוה ביני ובינך כי נסתר איש מרעהו אם תענה את בנתי ואם תקח נשים ,20,15,414,414.0,55,55.0,0.6938775510204082,0.9615384615384616,8090000052
ref-b.1.1.1.5b.23.20-ref-b.1.1.1.5b.23.24,ref-bible.0301.17.14.9-ref-bible.301.17.14.13,19394,19422,ref-b.1.1.1.5b.23.20,ref-b.1.1.1.5b.23.24,1160507,1160535,ref-bible.0301.17.14.9,ref-bible.0301.17.14.13,וצפונך תמלא בטנם ישבעו בנים ,וצפונך תמלא בטנם ישבעו בנים ,5,5,6803,6803.0,56,55.0,0.0,0.0,8090000053
